=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [ 5900/8000]  win=92.4%  states=8553  t=493s
    [ 6000/8000]  win=92.4%  states=8577  t=500s
    [ 6100/8000]  win=92.4%  states=8592  t=508s
    [ 6200/8000]  win=92.5%  states=8619  t=516s
    [ 6300/8000]  win=92.5%  states=8636  t=524s
    [ 6400/8000]  win=92.5%  states=8658  t=532s
    [ 6500/8000]  win=92.6%  states=8688  t=539s
    [ 6600/8000]  win=92.6%  states=8708  t=547s
    [ 6700/8000]  win=92.6%  states=8725  t=556s
    [ 6800/8000]  win=92.6%  states=8749  t=564s
    [ 6900/8000]  win=92.6%  states=8773  t=572s
    [ 7000/8000]  win=92.6%  states=8783  t=579s
    [ 7100/8000]  win=92.7%  states=8810  t=588s
    [ 7200/8000]  win=92.7%  states=8825  t=596s
    [ 7300/8000]  win=92.7%  states=8840  t=604s
    [ 7400/8000]  win=92.7%  states=8852  t=612s
    [ 7500/8000]  win=92.8%  states=8862  t=619s
    [ 7600/8000]  win=92.8%  states=8868  t=627s
    [ 7700/8000]  win=92.8%  states=8889  t=635s
    [ 7800/8000]  win=92.8%  states=8899  t=643s
    [ 7900/8000]  win=92.9%  states=8914  t=651s
    [ 8000/8000]  win=92.9%  states=8933  t=660s
  [TRAIN DONE]  win=92.9%  states=8933  time=659.6s
  [EVAL]  Running 500 greedy battles...
  [EVAL DONE]  win=96.2%  (481/500)

  Saved -> C:\Users\jonat\OneDrive\Documents\university\smt6\ai\q-learning-pokemon-battle\src\..\results\tuning_results.csv

>>> Config 5/10: alpha_0.05

=================================================================
[alpha_0.05]  alpha=0.05  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [  100/8000]  win=76.0%  states=1806  t=11s
    [  200/8000]  win=78.0%  states=2775  t=21s
    [  300/8000]  win=79.0%  states=3541  t=30s
    [  400/8000]  win=81.2%  states=4137  t=39s
    [  500/8000]  win=81.3%  states=4617  t=49s
    [  600/8000]  win=82.1%  states=5084  t=60s
    [  700/8000]  win=82.8%  states=5443  t=91s
    [  800/8000]  win=83.2%  states=5731  t=100s
    [  900/8000]  win=83.6%  states=6004  t=110s
    [ 1000/8000]  win=84.1%  states=6203  t=119s
    [ 1100/8000]  win=84.6%  states=6409  t=128s
    [ 1200/8000]  win=85.0%  states=6628  t=137s
    [ 1300/8000]  win=85.0%  states=6809  t=147s
    [ 1400/8000]  win=84.9%  states=6960  t=156s
    [ 1500/8000]  win=84.8%  states=7115  t=165s
    [ 1600/8000]  win=84.8%  states=7250  t=175s
    [ 1700/8000]  win=84.9%  states=7410  t=184s
    [ 1800/8000]  win=85.0%  states=7513  t=193s
    [ 1900/8000]  win=85.1%  states=7614  t=203s
    [ 2000/8000]  win=85.3%  states=7728  t=211s
    [ 2100/8000]  win=85.3%  states=7819  t=220s
    [ 2200/8000]  win=85.0%  states=7902  t=229s
    [ 2300/8000]  win=85.3%  states=7986  t=238s
    [ 2400/8000]  win=85.2%  states=8089  t=248s
    [ 2500/8000]  win=85.2%  states=8153  t=258s
    [ 2600/8000]  win=85.3%  states=8211  t=267s
    [ 2700/8000]  win=85.3%  states=8272  t=276s
    [ 2800/8000]  win=85.2%  states=8366  t=286s
    [ 2900/8000]  win=85.0%  states=8438  t=295s
    [ 3000/8000]  win=85.3%  states=8496  t=304s
    [ 3100/8000]  win=85.3%  states=8561  t=312s
    [ 3200/8000]  win=85.3%  states=8608  t=322s
    [ 3300/8000]  win=85.4%  states=8649  t=331s
